CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Identificacao_Valor_Mobiliario;Data_Emissao;Data_Vencimento;Quantidade;Valor_Nominal;Saldo_Devedor;Restricao_Circulacao;Descricao_Restricao_Circulacao;Conversibilidade;Condicao_Conversibilidade;Possibilidade_Resgate;Hipotese_Calculo_Resgate;Caracteristicas_Divida;Condicao_Alteracao_Direitos;Outras_Caracteristicas
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;EMTN - Dívida Sênior 2018;2018-04-19;2023-04-19;1;3897525000.00;3897525000.00;S;Os títulos só poderão ser adquiridos por investidores qualificados.;N;;S;HipótesesO emissor não terá direito a resgatar a totalidade dos títulos antes da respectiva data de vencimento, exceto nos casos de mudança de tratamento tributário.O emissor não poderá resgatar os títulos sem autorização do Banco Central.Fórmula de cálculo100% do valor principal mais juros acumulados e não pagos e todos os outros montantes devidos.;;Escritura Adicional com consentimento dos detentores dos títulos e Escritura Adicional sem o consentimento dos detentores dos títulos (de forma satisfatória ao Trustee e sem afetar direitos dos detentores).;As características relevantes da Dívida Sênior estão descritas acima.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - Certificados de Depósitos - CD;;;1;5675554436.19;5675554436.19;S;(a) Os títulos são emitidos dentro de programas estabelecidos pelo Banco do Brasil por meio das suas agências de Grand Cayman, Londres, Nova Iorque e Tóquio (b) como os programas não são registrados em nenhuma bolsa de valores e nem na SEC, restrições de venda se aplicam, de acordo com as várias jurisdições.;N;;S;HipótesesOs instrumentos podem ser resgatados antecipadamente mediante acordo entre as partes.Fórmula de cálculo100% do valor principal mais juros acumulados e não pagos e todos os outros montantes devidos.;;Não se aplica.;Não se aplica.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;Dívida Subordinada Nível 2;2010-10-05;2021-01-15;1;3429822000.00;3429822000.00;S;Os títulos só poderão ser adquiridos por investidores qualificados.;N;;S;HipótesesO emissor não terá direito a resgatar os títulos antes da respectiva data de vencimento, exceto nos casos de mudança de tratamento tributário.O emissor não poderá resgatar os títulos sem autorização do Bacen.Fórmula de cálculo100% do valor principal mais juros acumulados e não pagos e todos os outros montantes devidos.;;Escritura Adicional com consentimento dos detentores dos títulos e Escritura Adicional sem o consentimento dos detentores dos títulos (de forma satisfatória ao Trustee e sem afetar direitos dos detentores).;As características relevantes da Dívida Subordinada estão descritas acima.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;Dívida Subordinada Nível 2;2011-05-26;2022-01-26;1;7743083000.00;7743083000.00;S;Os títulos só poderão ser adquiridos por investidores qualificados.;N;;S;HipótesesO emissor não terá direito a resgatar os títulos antes da respectiva data de vencimento, exceto nos casos de mudança de tratamento tributário.O emissor não poderá resgatar os títulos sem autorização do Banco Central.Fórmula de cálculo100% do valor principal mais juros acumulados e não pagos e todos os outros montantes devidos na Escritura.;;Escritura Adicional com consentimento dos detentores dos títulos e Escritura Adicional sem o consentimento dos detentores dos títulos (de forma satisfatória ao Trustee e sem afetar direitos dos detentores).;As características relevantes da Dívida Subordinada Nível 2 estão descritas acima.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2012;2012-01-20;;1;6682696365.00;6682696365.00;S;Os títulos só poderão ser adquiridos por investidores qualificados.;N;;S;a) Não há hipótese de resgate antecipado a ser exercido pelo investidor, em conformidade com a Resolução CMN 3.444, de 28/02/2007.b) O Banco detém opção de resgate da totalidade dos títulos (mas não de parte deles), em 15/04/2023 e em cada data de pagamento de cupom a partir desta data, sujeita à aprovação prévia do Banco Central ou outra autoridade governamental brasileira.c) Na ocorrência de eventos fiscais ou regulatórios, o Banco poderá resgatar antecipadamente a totalidade dos títulos (mas não parte deles), em qualquer data de pagamento de cupom antes de 15/04/2023. Nesse caso, deverá formal e antecipadamente encaminhar notificação ao trustee, contendo opinião jurídica de consultoria brasileira, atestando as condições legais para o exercício da opção.a) No resgate consequente de evento fiscal, o preço será 100% do principal mais juros acumulados e não pagos ("preço base de resgate").b) No resgate consequente de evento regulatório, o preço será determinado por banco de investimento independente, sendo o maior entre o "preço base de resgate" e o preço resultante da soma de: i) valor presente do principal e ii) valor presente dos juros semestrais acumulados, de acordo com fórmula constante da escritura dos títulos.;;Escritura Adicional com consentimento dos detentores dos títulos e Escritura Adicional sem o consentimento dos detentores dos títulos (de forma satisfatória ao Trustee e sem afetar direitos dos detentores).;Qualquer pagamento de não principal não será devido e não acumulará se o emissor não distribuir dividendos aos detentores de ações ordinárias com relação ao período correspondente ao período de juros dos títulos.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;EMTN - Dívida Sênior 2017;2017-10-23;2025-01-15;1;5196700000.00;5196700000.00;S;Os títulos só poderão ser adquiridos por investidores qualificados.;N;;S;HipótesesO emissor não terá direito a resgatar a totalidade dos títulos antes da respectiva data de vencimento, exceto nos casos de mudança de tratamento tributário.O emissor não poderá resgatar os títulos sem autorização do Banco Central.Fórmula de cálculo100% do valor principal mais juros acumulados e não pagos e todos os outros montantes devidos.;;Escritura Adicional com consentimento dos detentores dos títulos e Escritura Adicional sem o consentimento dos detentores dos títulos (de forma satisfatória ao Trustee e sem afetar direitos dos detentores).;As características relevantes da Dívida Sênior estão descritas acima.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;Dívida Subordinada Nível 2;2012-06-19;2023-01-19;1;3851352320.50;3851352320.50;S;Os títulos só poderão ser adquiridos por investidores qualificados.;N;;S;HipótesesO emissor não terá direito a resgatar a totalidade dos títulos antes da respectiva data de vencimento, exceto nos casos de alteração de tratamento tributário.O emissor não poderá resgatar os títulos sem autorização do Banco Central.Fórmula de cálculo100% do valor principal mais juros acumulados e não pagos e todos os outros montantes devidos na Escritura.;;Escritura Adicional com consentimento dos detentores dos títulos e Escritura Adicional sem o consentimento dos detentores dos títulos (de forma satisfatória ao Trustee e sem afetar direitos dos detentores).;As características relevantes da Dívida Subordinada Nível 2 estão descritas acima.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;GMTN - Dívida Sênior 2019;2019-03-13;2024-03-20;1;3897525000.00;3897525000.00;S;Os títulos só poderão ser adquiridos por investidores qualificados.;N;;S;HipótesesO emissor terá direito a resgatar a totalidade dos títulos antes da respectiva data de vencimento, ao custo de Treasury mais 30 pontos base.Fórmula de cálculo100% do valor principal mais juros acumulados e não pagos e todos os outros montantes devidos.;;Escritura Adicional com consentimento dos detentores dos títulos e Escritura Adicional sem o consentimento dos detentores dos títulos (de forma satisfatória ao Trustee e sem afetar direitos dos detentores).;As características relevantes da Dívida Sênior estão descritas acima.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2013;2013-01-31;;1;10133565000.00;10133565000.00;S;Os títulos só poderão ser adquiridos por investidores qualificados.;N;;S;a) Não há hipótese de resgate antecipado a ser exercido pelo investidor.b) O Banco detém opção de resgate da totalidade dos títulos (mas não de parte deles), em 15/04/2024 e em cada data de pagamento de cupom a partir desta data, sujeita à aprovação prévia do Banco Central ou outra autoridade governamental brasileira.c) Na ocorrência de eventos fiscais ou regulatórios, o Banco poderá resgatar antecipadamente a totalidade dos títulos (mas não parte deles), em qualquer data de pagamento de cupom antes de 15/04/2024. Nesse caso, deverá formal e antecipadamente encaminhar notificação ao trustee, contendo opinião jurídica de consultoria brasileira, atestando as condições legais para o exercício da opção.a) No resgate consequente de evento fiscal, o preço será 100% do principal mais juros acumulados e não pagos ("preço base de resgate").b) No resgate consequente de evento regulatório, o preço será determinado por banco de investimento independente, sendo o maior entre o "preço base de resgate" e o preço resultante da soma de: i) valor presente do principal e ii) valor presente dos juros semestrais acumulados, de acordo com fórmula constante da escritura dos títulos.;;O Banco poderá proceder a "alterações qualificadas" nos títulos, sem o consentimento dos investidores, a qualquer momento e quando necessário, na medida estrita para atender novo normativo do Banco Central do Brasil, cumprindo requisitos para manter a qualificação da dívida como Capital de Nível 1 ou Nível 2, devido à implementação de Basileia III. O Banco poderá também proceder a outras alterações ("alterações não qualificadas"), desde que não causem qualquer prejuízo material aos detentores dos títulos, conforme formalmente certificado pelo Banco ao trustee.As "alterações qualificadas" consistem em:a) alterações para absorção de perdas (nos estritos limites necessários à adequação da dívida como Capital de Nível 1 ou de Nível 2) eb) alterações de pagamento de juros e de não principal (sendo previsto que o Banco se compromete a recomendar o não pagamento de dividendos a seus acionistas até que haja o pagamento dos juros e não principal dos títulos relativos a um período).A ocorrência das alterações qualificadas (a) e (b) implicará na eliminação, nos termos e condições dos títulos, da obrigatoriedade de o Banco pagar juros e não principal caso pague dividendos a seus acionistas.;Qualquer pagamento de não principal não será devido e não acumulará se o emissor não distribuir dividendos aos detentores de ações ordinárias com relação ao período correspondente ao período de juros dos títulos.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Letras Financeiras;IECE - Bônus Perpétuo 2014;2014-06-18;;1;11172905000.00;11172905000.00;S;Os títulos só poderão ser adquiridos por Investidores Qualificados.;N;;S;a) Não há hipótese de resgate antecipado a ser exercido pelo Investidorb) O Banco detém opção de resgate da totalidade dos títulos (mas não de parte deles), em 18/06/2024 e em cada data de cupom a partir desta data, sujeita à aprovação prévia do Banco Central ou outra autoridade governamental brasileirac) Após um período de 05 anos a partir da data de emissão, na ocorrência de eventos fiscais ou regulatórios, o Banco poderá resgatar antecipadamente os títulos.No resgate em consequência de evento fiscal ou regulatório, o preço será o "preço base de resgate" (principal mais juros acumulados e não pagos).;;Não há.;O Banco poderá proceder a alterações nos termos e condições dos títulos, sem o consentimento dos investidores, no prazo de um ano da data de emissão, quando necessário, exclusivamente para atender novos normativos do Banco Central do Brasil, cumprindo requisitos para manter a qualificação da dívida como Capital de Nível 1, de acordo com Res. 4.192 e regulamentações subsequentes.
